cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2006-1875,10.0,7.1582,2.8418,2.8418,True,CRITICAL
CVE-2005-3439,10.0,7.3516,2.6484,2.6484,True,CRITICAL
CVE-1999-0799,10.0,7.3969,2.6031,2.6031,True,CRITICAL
CVE-2013-2710,6.8,4.3193,2.4807,2.4807,True,MEDIUM
CVE-2011-3099,10.0,7.5231,2.4769,2.4769,True,CRITICAL
CVE-2005-3449,10.0,7.5695,2.4305,2.4305,True,CRITICAL
CVE-2024-49103,4.3,6.6729,-2.3729,2.3729,True,MEDIUM
CVE-1999-0095,10.0,7.6409,2.3591,2.3591,True,CRITICAL
CVE-2010-2389,1.0,3.3326,-2.3326,2.3326,True,LOW
CVE-2008-1216,6.8,4.4968,2.3032,2.3032,True,MEDIUM
CVE-2007-2090,6.8,4.533,2.267,2.267,True,MEDIUM
CVE-2015-0932,10.0,7.7928,2.2072,2.2072,True,CRITICAL
CVE-2006-1523,10.0,7.7987,2.2013,2.2013,True,CRITICAL
CVE-2005-2290,10.0,7.8048,2.1952,2.1952,True,CRITICAL
CVE-2007-0954,10.0,7.845,2.155,2.155,True,CRITICAL
CVE-2015-1498,10.0,7.8465,2.1535,2.1535,True,CRITICAL
CVE-2007-1640,10.0,7.8803,2.1197,2.1197,True,CRITICAL
CVE-2002-0436,10.0,7.8828,2.1172,2.1172,True,CRITICAL
CVE-2011-4755,10.0,7.8862,2.1138,2.1138,True,CRITICAL
CVE-2014-3682,7.5,9.6051,-2.1051,2.1051,True,HIGH
CVE-2013-6288,10.0,7.8999,2.1001,2.1001,True,CRITICAL
CVE-2007-1225,10.0,7.906,2.094,2.094,True,CRITICAL
CVE-2005-1613,6.8,4.7107,2.0893,2.0893,True,MEDIUM
CVE-2014-4783,6.8,4.7207,2.0793,2.0793,True,MEDIUM
CVE-2010-0921,6.8,4.7562,2.0438,2.0438,True,MEDIUM
CVE-2013-1287,7.2,9.2373,-2.0373,2.0373,True,HIGH
CVE-2007-2713,10.0,7.9801,2.0199,2.0199,True,CRITICAL
CVE-2007-1024,10.0,7.9961,2.0039,2.0039,True,CRITICAL
CVE-2007-0303,10.0,7.9984,2.0016,2.0016,True,CRITICAL
CVE-2014-1259,6.8,4.8022,1.9978,1.9978,True,MEDIUM
CVE-2015-3964,10.0,8.0162,1.9838,1.9838,True,CRITICAL
CVE-2014-8329,10.0,8.0283,1.9717,1.9717,True,CRITICAL
CVE-2011-3293,6.8,4.8343,1.9657,1.9657,True,MEDIUM
CVE-2005-0520,10.0,8.05,1.95,1.95,True,CRITICAL
CVE-2005-0491,10.0,8.0522,1.9478,1.9478,True,CRITICAL
CVE-2011-2252,6.8,4.8537,1.9463,1.9463,True,MEDIUM
CVE-2003-0493,10.0,8.0539,1.9461,1.9461,True,CRITICAL
CVE-2004-0348,10.0,8.057,1.943,1.943,True,CRITICAL
CVE-2007-3907,10.0,8.0636,1.9364,1.9364,True,CRITICAL
CVE-2002-2290,10.0,8.0672,1.9328,1.9328,True,CRITICAL
CVE-2006-6556,7.5,9.4284,-1.9284,1.9284,True,HIGH
CVE-2005-3451,10.0,8.0759,1.9241,1.9241,True,CRITICAL
CVE-2000-0798,10.0,8.0787,1.9213,1.9213,True,CRITICAL
CVE-2003-1500,6.8,4.8811,1.9189,1.9189,True,MEDIUM
CVE-2010-3415,10.0,8.0976,1.9024,1.9024,True,CRITICAL
CVE-2013-4068,7.1,8.9976,-1.8976,1.8976,True,HIGH
CVE-2014-9129,6.8,4.9042,1.8958,1.8958,True,MEDIUM
CVE-2007-5450,9.3,7.4082,1.8918,1.8918,True,CRITICAL
CVE-2014-5100,6.8,4.9123,1.8877,1.8877,True,MEDIUM
CVE-2016-0614,4.0,5.8748,-1.8748,1.8748,True,MEDIUM
CVE-1999-1063,10.0,8.1281,1.8719,1.8719,True,CRITICAL
CVE-2023-47217,4.0,5.8684,-1.8684,1.8684,True,MEDIUM
CVE-2006-3724,10.0,8.139,1.861,1.861,True,CRITICAL
CVE-2005-3812,6.8,4.9472,1.8528,1.8528,True,MEDIUM
CVE-2021-3729,4.3,6.1457,-1.8457,1.8457,True,MEDIUM
CVE-2005-1851,10.0,8.1608,1.8392,1.8392,True,CRITICAL
CVE-2012-3797,10.0,8.161,1.839,1.839,True,CRITICAL
CVE-2004-0261,10.0,8.1624,1.8376,1.8376,True,CRITICAL
CVE-2010-4671,7.8,9.6312,-1.8312,1.8312,True,HIGH
CVE-2011-3554,10.0,8.1733,1.8267,1.8267,True,CRITICAL
CVE-2008-4212,10.0,8.188,1.812,1.812,True,CRITICAL
CVE-2000-1013,7.2,9.0031,-1.8031,1.8031,True,HIGH
CVE-2015-4843,10.0,8.197,1.803,1.803,True,CRITICAL
CVE-2006-0038,6.9,5.1059,1.7941,1.7941,True,MEDIUM
CVE-2015-0516,4.0,5.7936,-1.7936,1.7936,True,MEDIUM
CVE-2009-2111,10.0,8.2126,1.7874,1.7874,True,CRITICAL
CVE-2003-1381,6.8,5.0186,1.7814,1.7814,True,MEDIUM
CVE-2005-1444,6.8,5.0208,1.7792,1.7792,True,MEDIUM
CVE-2007-2429,10.0,8.2244,1.7756,1.7756,True,CRITICAL
CVE-2015-1984,4.0,5.7756,-1.7756,1.7756,True,MEDIUM
CVE-2014-7936,6.8,5.0409,1.7591,1.7591,True,MEDIUM
CVE-2015-4732,10.0,8.2479,1.7521,1.7521,True,CRITICAL
CVE-2007-1053,10.0,8.2513,1.7487,1.7487,True,CRITICAL
CVE-2014-5503,10.0,8.2615,1.7385,1.7385,True,CRITICAL
CVE-2006-1186,10.0,8.2639,1.7361,1.7361,True,CRITICAL
CVE-2002-0437,10.0,8.2686,1.7314,1.7314,True,CRITICAL
CVE-2012-5087,10.0,8.2719,1.7281,1.7281,True,CRITICAL
CVE-2009-1405,6.8,5.0773,1.7227,1.7227,True,MEDIUM
CVE-2006-5356,10.0,8.2895,1.7105,1.7105,True,CRITICAL
CVE-2012-4348,7.2,8.9017,-1.7017,1.7017,True,HIGH
CVE-2024-34603,4.0,5.698,-1.698,1.698,True,MEDIUM
CVE-2002-0796,10.0,8.3023,1.6977,1.6977,True,CRITICAL
CVE-2012-1872,6.1,4.4047,1.6953,1.6953,True,MEDIUM
CVE-2025-9439,4.3,5.9942,-1.6942,1.6942,True,MEDIUM
CVE-2015-7220,10.0,8.3152,1.6848,1.6848,True,CRITICAL
CVE-2014-4225,6.9,5.2204,1.6796,1.6796,True,MEDIUM
CVE-2024-20899,4.0,5.6795,-1.6795,1.6795,True,MEDIUM
CVE-2000-0283,6.4,4.7227,1.6773,1.6773,True,MEDIUM
CVE-2018-11352,4.0,5.6721,-1.6721,1.6721,True,MEDIUM
CVE-2015-1305,6.9,5.2296,1.6704,1.6704,True,MEDIUM
CVE-2025-25586,4.2,5.8697,-1.6697,1.6697,True,MEDIUM
CVE-2008-1393,10.0,8.3304,1.6696,1.6696,True,CRITICAL
CVE-2012-6034,4.4,6.0658,-1.6658,1.6658,True,MEDIUM
